Model,Accuracy,Precision (macro),Recall (macro),F1-score (macro)
Naive Bayes,0.9337121212121212,0.9375224806995285,0.9337121212121211,0.9340779307276338
Random Forest,0.9299242424242424,0.935908033474639,0.9299242424242423,0.929817377425858
Logistic Regression,0.9299242424242424,0.9330865280964097,0.9299242424242423,0.9299311360209459
K-Nearest Neighbors,0.9147727272727273,0.9185544031086987,0.9147727272727273,0.9148674618435423
Decision Tree,0.8560606060606061,0.864317339112074,0.856060606060606,0.8562503035338735
